jmeno,adresa,email,tel,web
IM Dent s.r.o.,"Školní 562, 411 08 Štìtí",,,
IM Dental s.r.o.,"Mrštíkova 108/10, 693 01 Hustopeèe u Brna",,,
IMPARADENT s.r.o.,"Antonínova 4465, 760 01 Zlín",,,
ImplaDent s.r.o.,"nábøeí Václava Havla 208, 541 01 Trutnov",,,
Implant s.r.o.,"Javornického 198, Litomyšlské Pøedmìstí, 566 01 Vysoké Mıto",,,
Ina Dent s.r.o.,"Pøíèná 214, 345 62 Holıšov",,,
"INC, a.s.","Tovární 19, 250 90 Jirny",inc@jirny.com,,www.jirny.com
Ing. Mário Urban,"Sokolská tøída 81, 702 00 Ostrava - Moravská Ostrava",,,
INLAY s.r.o.,"Osická 538, 198 00 Praha 9",,,
InMed-SV s.r.o.,"Kaplíøova 510, 411 13 Tøebenice",,,
"INSTAKO, spol. s r.o.","Kamıcká 1077, 165 00 Praha 6",,,
Institut Dentaire s.r.o.,"Poštovní 1118/10, 702 00 Ostrava",,,
"Intellident, s.r.o.","Vítìzné námìstí 829/1, 160 00 Praha 6",,,
International Dental Care a.s.,"Na Perštınì 342/1, 110 00 Praha 1",recepce@internationaldental.cz,,
IP DENTAL s.r.o.,"Unhošská 2533, 272 01 Kladno 1",,,
IPP - DENT s.r.o.,"Hradební 856/10, 500 03 Hradec Králové",ippdent@outlook.cz,,
Irina Kostadinova Kerkelova,"Jabloòová 2992/8, 106 00 Praha 10",,,
IriSdent s.r.o.,"Masarykova 506/37, 602 00 Brno",,,
"IRMED DENT, s.r.o.","Budeèská 1217/44, 120 00 Praha 2",irmeddent@gmail.com,,www.irmeddent.cz
iStoma s.r.o.,"Èechova 2641/44, 301 00 Plzeò - Jiní Pøedmìstí",,,
IVADENT s.r.o.,"Lukášova 184/1, 130 00 Praha 3",,,
Iveta Šrytrová,"Tigridova 1501/6, 140 00 Praha 4",,,
IVODENT s.r.o.,"Mendlovo námìstí 149/16, 603 00 Brno",berka@ivodent.cz,,www.ivodent.cz
"J & D Dental Group s.r.o. - Dukelská 348/7, Milovice","Dukelská 348/7, 289 24 Milovice",,,
JA - HA Dent s.r.o.,"ikova 1311, 282 01 Èeskı Brod",,,
Jablodent s.r.o.,"Kubálkova 5264, 466 01 Jablonec nad Nisou",info@jablodent.cz,,
JaKlDent s.r.o.,"U Divadla 172, 356 01 Sokolov",,,
JaMa Medical s.r.o.,"Liberecká 19, 463 42 Hodkovice nad Mohelkou",,,
JaMa Medical s.r.o.,"Antonína Dvoøáka 686, 511 01 Turnov",,,
JaMa Medical s.r.o.,"Pøepeøe 210, 512 61 Pøepeøe",,,
Jambura Dent s.r.o.,"Táborská 2694/15, 326 00 Plzeò",info@jamburadent.cz,,
"Jan Císaø, s.r.o.","Zborovská 1245, 753 01 Hranice",j.cisar@guick.cz,,
"Jan Císaø, s.r.o.","Francova Lhota 325, 756 14 Francova Lhota",,,
JANA Clinic s.r.o.,"Houškova 507/26, 326 00 Plzeò",,,
Jana Vintrová,"Werichova 1145/23, 152 00 Praha 5",,,
Janskı - Janská s.r.o.,"Seifertova 383, 379 01 Tøeboò",,,
Jaradent Plus s.r.o.,", 592 62 Nedvìdice 103",,,
Jarov Dent s.r.o.,"Jeseniova 2769/208, 130 00 Praha 3",,,
Jarov Dent s.r.o.,"Bechyòova 2571/3, 160 00 Praha 6",,,
JB DENT s.r.o.,"Komenského 828, 517 21 Tıništì nad Orlicí",,,
JBBH spol. s r.o.,"Hornická 568, 384 11 Netolice",,,
"J-dental, s.r.o.","Františkánská 204, 686 01 Uherské Hradištì",,,
JemDent s.r.o.,"Vrchlického 2497/57, 586 01 Jihlava",,,
JemDent s.r.o.,"Budìjovická 1192, 675 31 Jemnice",,,
JFárová Dent s.r.o.,"Antala Staška 1670/80, 140 00 Praha 4",,,
JH Orto s.r.o.,"Seydlerova 2451/8, 158 00 Praha 5",,,
JH-Stoma s.r.o.,"Praská 2394/1 b, 678 01 Blansko",stom.hanakova@seznam.cz,,
JIDENT s.r.o.,"Nám. Èsl.  legií 599, 330 03 Chrást u Plznì",jident@seznam.cz,,
Jihoèeské implantologické centrum s.r.o.,"Matice školské 1786/17, 370 01 Èeské Budìjovice",,,
JIPA MORAVANY s.r.o.,"Smetanova 321, 533 72 Moravany u Holic",,,
JIRDENT s.r.o.,"Antonínova 4465, 760 01 Zlín",,,
Jiøí Szostek s.r.o.,"Na Vısluní 393, 788 13 Rapotín",,,
JitaDent s.r.o.,"Jeèná 1231/31, 621 00 Brno",,,
JÍZDÁRENSKÁ a.s.,"Na Jízdárnì 2767/21a, 702 00 Ostrava",,,
JK Dental s.r.o.,"Spojilská 208, 530 03 Pardubice",,,
JK Smile s.r.o.,"Brozanská 404, 411 56 Bohušovice nad Ohøí",jksmilesro@gmail.com,,
JKZ Sıkora Dent s.r.o.,"È. Drahlovského 2315/12, 750 02 Pøerov I - Mìsto",,,
JO Dent s.r.o.,"Herrmannova 593/4, 460 01 Liberec 1",,,
JohaniDent s.r.o.,"nám. Prof. È. Strouhala 25, 538 07 Seè",,,
JOMAA DENTAL s.r.o.,"Jankovcova 788/16, 170 00 Praha 7",,,
Jordent s.r.o.,"Roudenská 523/31, 370 01 Èeské Budìjovice",,,
JOSENIKA s.r.o.,"Dukelská 1236/25, 790 01 Jeseník",josenika.ordinace@gmail.com,,
JOY Dental Care s.r.o.,"Bezruèova 2037/1a, 789 01 Zábøeh",info@joydc.cz,,
JP Dent s.r.o.,"Jana Opletala 644/8, 290 01 Podìbrady",jpeklakova@seznam.cz,,
JP&JP s.r.o.,"Koelská 222, 584 01 Ledeè nad Sázavou",,,
JPE Consulting s.r.o.,"Lidická tø. 2144/108, 370 01 Èeské Budìjovice",,,
JPL 07 s.r.o.,"Tovaèovského sady 78, 676 02 Moravské Budìjovice",,,
JPL 07 s.r.o.,", 671 53 Jevišovice 327",,,
JPL 07 s.r.o.,"Gymnazijní 344, 676 02 Moravské Budìjovice",trebic@louda-zk.cz,,www.louda-zk.cz
JPL 07 s.r.o.,"Vltavínská 1289, 674 01 Tøebíè",trebic@louda-zk.cz,,www.louda-zk.cz
JR Dent s.r.o.,"Zámecká 384, 335 61 Spálené Poøíèí",jardarous@seznam.cz,,
JR Stomatologie s.r.o.,"Na Okraji 639/5, 400 01 Ústí nad Labem",,,
JS Dental s.r.o.,"Hvìzdova 1073/33, 140 00 Praha 4",,,
JT DENT s.r.o.,"Šumperská 652, 199 00 Praha 9 - Letòany",,,
JTB DENTAL s.r.o.,"Osiková 1781/2c, 370 08 Èeské Budìjovice",,,
JuALDent s.r.o.,"Václavské námìstí 170, 535 01 Pøelouè",info@scprelouc.cz,,scprelouc.cz
Jumr Jaroslav MDDr.,"Novákovıch 884/37, 18000 Praha 8, Libeò",ordinacejumr@gmail.com,,
JUNEK dent s.r.o.,"Sv. Èecha 253, 506 01 Jièín",zubar.junek@seznam.cz,,www.junekdent.cz
"Jurij Zanošèuk, lékaø stomatolog","T. G. Masaryka 54/21, 360 01 Karlovy Vary",,,
JVB zubní s.r.o.,"Myslbekova 404/23, 405 02 Dìèín",,,
JVB zubní s.r.o.,"Cihláøská 3124, 407 47 Varnsdorf",,,
JVD - zubní ordinace s.r.o.,"Jirsíkova 36/12, 392 01 Sobìslav",,,
K - DERMA s.r.o.,"2. námìstí Zachriáše z Hradce 50, 588 56 Telè",,,
K - zubní ordinace s.r.o.,"Absolonova 719/30, 624 00 Brno",,,
"K 11, spol. s r.o.","Karáskovo námìstí 2683/11, 615 00 Brno",info@k-11.cz,,www.k-11.cz
K dental zubní ordinace s.r.o.,"tø. Osvobození 1388, 765 02 Otrokovice",kdental@gmail.cz,,
K2 Dent s.r.o.,", 543 72 Rudník u Vrchlabí 330",,,
"K2 stomatologie, s.r.o.","Praská 537, 541 01 Trutnov",,,
Kabdent s.r.o.,"Dolní 95, 763 62 Tlumaèov",,,
Kabdent s.r.o.,"Antonínova 4465, 760 01 Zlín",,,
Kaczmarczyk s.r.o.,"Horní námìstí 368/4, 779 00 Olomouc",,,
KaDent s.r.o.,"Èechova 166, 432 01 Kadaò",zubarkas@seznam.cz,,zubarkas@seznam.cz
KADentist s.r.o.,"Èechovská 57, 261 01 Pøíbram",,,
"Kadlec  dent, s.r.o.","Branská 55, 344 01 Domalice",,,
KAHO dent s.r.o.,"Nádraní 82/35, 789 85 Mohelnice",,,
KalaDent s.r.o.,"Za Divadlem 587/4, 602 00 Brno",info.kaladent@gmail.com,,
KALUGIDENT s.r.o.,"Bokovská 2967/4, 141 00 Praha 4",,,
"KAMADENT, s.r.o.","Rodinná 1015/13, 736 01 Havíøov, Bludovice",,,
KAMI-DENT s.r.o.,"Dr. Martínka 1491/7, 700 30 Ostrava - Hrabùvka",,,
Kamrádová Dental s.r.o.,"28. øíjna 661/9, 779 00 Zábøeh",,,
KaraDent s.r.o.,"Nábøeí 578, 760 01 Zlín",,,www.karadent.cz
KarDent s.r.o.,"è. p. 6, 250 61 Zápy",,,
KarDent s.r.o.,"Pøíèná 11, 251 62 Mukaøov",,,
KARDIA s.r.o.,"ikova 146, 280 02 Kolín",,,www.kardia.cz
Karident s.r.o.,"Purkyòova 2855/97a, 612 00 Brno",info@karident.cz,,www.karident.cz
Karlovarská krajská nemocnice a.s.,"Bezruèova 19, 360 66 Karlovy Vary",,,
Karlovarská krajská nemocnice a.s.,"Zbrojnická 688/22, 360 01 Karlovy Vary - Drahovice",,,
"KAROLINUM DENTÁLNÍ CENTRUM, s.r.o.","Dlouhá 727/39, 110 00 Praha 1",,,
Karra a spol. s r.o.,"Karolíny Svìtlé 18, 110 00 Praha 1",,,
"KATORGA, s.r.o.","Ke Zdravotnímu støedisku 447, 150 00 Praha 5 - Øeporyje",,,
"KATORGA, s.r.o.","eleznobrodská 764, 197 00 Praha 9",,,
Katsiaryna Sushko,"Letná II 535, 338 05 Mıto",,,
KB Dental s.r.o.,"Revoluèní 1712/20, 792 01 Bruntál",,,
K-Dent Holice s.r.o.,"Bratøí Èapkù 327, 534 01 Holice v Èechách",,,
"KDentika s.r.o. - Šedivská 339, 561 51","Šedivská 339, Letohrad 561 51",info@kdentika.cz,,
Keepsmile s.r.o.,"Koulova 1606/2, 160 00 Praha 6",keepsmileklinika@gmail.com,,www.keepsmileklinika@gmail.com
KESMEL s.r.o.,"Jablonecká 712, 190 00 Praha 9",,,
"KetDent, s.r.o.","Kojetínská 1413/39, 767 01 Kromìøí",,,
Keydental spol. s r.o.,"Kazaòská 121/1, 102 00 Praha 10",,,
KEYSEC PROTECT s.r.o.,"námìstí starosty Pavla 15, 272 01 Kladno",,,
KEYSEC PROTECT s.r.o.,"námìstí starosty Pavla 15, 272 01 Kladno",zubar.kladno@gmail.com,,www.zubnikladno.cz
KH dent plus s.r.o.,"Špálova 1070/30, 702 00 Ostrava",,,
KissDent s.r.o.,"Senováné námìstí 978/23, 110 00 Praha 1",,,
KK ZUBNÍ LÉKAØSTVÍ s.r.o.,"Smetanova 55, 572 01 Polièka",,,
KKL DENT s.r.o.,"U Nemocnice 3064, 415 01 Teplice",,,
KL - DENT s.r.o.,"Mírová 609/5, 289 22 Lysá nad Labem",,,
"KLADNİ ZUBAØ s.r.o. - Štefánikova 115, Kladno","Štefánikova 115, 272 04 Kladno",,,
Klapaè s.r.o.,"Drustevní 520, 294 01 Dobrovice",,,
Klatovská zubní ordinace s.r.o.,"Mìchurova 658, 339 01 Klatovy II",,,
Klika Dent s.r.o.,"Pernerova 691/42, 186 00 Praha 8",,,https://www.klikadent.cz
KLIMENT s.r.o.,"nábø.L.Svobody 2, 156 00 Praha 1",,,
Klinika IDC s.r.o.,"L. Váchy 1567, 760 01 Zlín",,,
"Klinika K 11, spol. s.r.o. - Karáskovo námìstí 2683/11, Ivanèice","Karáskovo námìstí 2683/11, 664 91 Brno",,,
Klinika KC s.r.o.,"Blatenská 322, 341 01 Horaïovice",,,
"Klinika ústní, èelistní a oblièejové chirurgie","Nová Ulice 82, 77900 Olomouc",,,
KLINKOVSKAY s.r.o.,"Smetanova 773/25, 760 01 Zlín",,,
KLINKOVSKAY s.r.o.,"Smetanova 773/25, 760 01 Zlín",,,
Klymenko Denys,"Bøezenecká 4804, 430 04 Chomutov",,,
KM-DENT s.r.o.,"Moravská 619, 768 11 Chropynì",km-dent@seznam.cz,,
KN DENT - zubní ordinace s.r.o.,"V Aleji 98, 349 52 Konstantinovy Láznì",,,
KN Stoma s.r.o.,"Husova 128, 286 01 Èáslav",,,
Knaizl dent s.r.o.,"K Øece 716/14, 326 00 Plzeò",,,
Kocánová-Wander s.r.o.,"Jírovcova 15, 370 01 Èeské Budìjovice",,,
KockDent s.r.o.,"Voøíškova 347, 339 01 Klatovy",,,
KOHOUT DENTAL s.r.o.,"è. p. 5, 569 41 Mìsteèko Trnávka",zubarkohout@gmail.com,,zubarkohout.cz
KOLARÈÍKDENT s.r.o.,"Námìstí SNP 3061, 700 30 Ostrava - Zábøeh",,,
KOLDADENT  s.r.o.,"Dvoøákova 1785/19, 750 02 Pøerov",,,
Koldent s.r.o.,"Ovèárecká 415, 280 02 Kolín V",,,
KolínSKYdent s.r.o.,"Bezruèova 297, 280 02 Kolín",,,
Komdent s.r.o.,"Nálepkova 406/60, 637 00 Brno",,,
KOMFORT DENTAL s.r.o.,"Seifertova 840/48, 130 00 Praha 3",,,
Kondito s.r.o.,"Tovární vrch 78, 472 01 Doksy",,,
Kop-Ort s.r.o.,"Èumpelíkova 1764/2, 182 00 Praha 8",,,
Kousej OK s.r.o.,"Olšanská 2666/7, 130 00 Praha 3",,,
Kováè - dental s.r.o.,"Kmochova 1652/8, 736 01 Havíøov, Podlesí",,,
Kováè - dental s.r.o.,"Antonína Macka 122/1, 702 00 Ostrava - Moravská Ostrava",,,
Kozák-Dental s.r.o.,"Pešinova 3478/23, 796 01 Prostìjov",info@kozak-dental.cz,,www.kozak-dental.cz
Kozák-Dental s.r.o.,"Milièova 2548/4, 796 01 Prostìjov",info@kozak-dental.cz,,www.kozak-dental.cz
KP DENT s.r.o.,"Školní 588, 373 11 Ledenice",,,
KR dent s.r.o.,"U Husova sboru 2012, 530 02 Pardubice",,,
"Krajská nemocnice Liberec, a.s.","Husova 10, 460 63 Liberec",,,http://www.nemlib.cz/
Krajská nemocnice T. Bati a.s.,"Havlíèkovo nábø. 600, 762 75 Zlín",,,
"Krajská zdravotní, a.s.","Mírová 2700/8, 400 11 Ústí nad Labem",,,
"Krajská zdravotní, a.s.","Sociální péèe 3316/12A, 401 13 Ústí nad Labem",info@kzcr.eu,,www.kzcr.eu
Král DENT s.r.o.,"U Zdravotního støediska 1542, 696 03 Dubòany",,,www.kraldent.cz
"Kramperová Šárka, DiS","Lipová 900, 382 41 Kaplice",,,
Krásnézuby s.r.o.,"Banskobystrická 657/131, 621 00 Brno",,,
Krausová Dental s.r.o.,"Nad Poštou 91, 747 75 Velké Heraltice",,,
KrisDen s.r.o.,"Chvaletická 918/3, 198 00 Praha 9",,,
KROMDENT spol. s r.o.,"Riegrovo námìstí 149/33, 767 01 Kromìøí",,,
KROMDENT spol. s r.o.,"Koryèanská 47, 768 04 Støílky",,,
Kromìøíská nemocnice a.s.,"Havlíèkova 660/69, 767 01 Kromìøí",,,
Krydent s.r.o.,"Londınská 665/45, 120 00 Praha 2",,,
Krymus Andriy,"Májová 582/19, 350 02 Cheb",,,
Ksenia Vyshinskaya,"Budeèská 2165/35, 120 00 Praha 2",,,
KUBICEK DENTAL spol. s.r.o.,"Masarykovo námìstí 1325, 763 12 Vizovice",,,
Kubi-dent s.r.o.,"Chrudimská 2526/2a, 130 00 Praha 3",,,
Kucident s.r.o.,"Revoluèní 164, 471 27 Strá pod Ralskem",,,
Kucident s.r.o.,"Revoluèní 164, 471 27 Strá pod Ralskem",,,
KukuDent s.r.o.,"Køenová 306/40, 602 00 Brno",,,
KUNKELA Clinic s.r.o.,"Rùová 41, 377 01 Jindøichùv Hradec V",,,
Kusák stomatologie s.r.o.,"Dìdina 2, 687 22 Ostroská Nová Ves",,,
KVALIDENT s.r.o.,"Trojická 1910/7, 128 00 Praha 2",info@kvalident.cz,,
Kyselovskı stomatologie s.r.o.,"Jana Babáka 2733/11, 612 00 Brno",,,
"KZ - Dent, s.r.o.","Staškova 397/8, 460 14 Liberec 14",,,
LababidiDent s.r.o.,"Jankovcova 788/16, 170 00 Praha 7",,,
LaDenta s.r.o.,"Jankovcova 788/16, 170 00 Praha 7",info@ladenta.cz,,www.ladenta.cz
LaDentika s.r.o.,"Èeskıch bratøí 519, 563 01 Lanškroun",,,
LAFiN Dent s.r.o.,"Antonína Vaška 82, 747 92 Háj ve Slezsku - Smolkov",,,
LAILA CLINIC s.r.o.,"Sokolská 1638/37, 120 00 Praha 2",,,www.laila-clinic.cz
LailaDent s.r.o.,"Kartouzská 204/6, 150 00 Praha 5",,,
LailaDent s.r.o.,"Sudomìøská 185/10, 130 00 Praha 3",,,
LANC s.r.o.,"T. G. Masaryka 29, 277 16 Všetaty",,,
Laserdent s.r.o.,"Alšova 1452, 686 03 Staré Mìsto u Uherského Hradištì",,,
"LavDent, s.r.o.","Bøevnovská 1088/5, 169 00 Praha 6",,,
Lavgaevdent s.r.o.,"Plzeòská 1880, 266 01 Beroun-Mìsto",,,
Lázeòskı dvùr OSTROH s.r.o.,"Rùovı kopeèek 397/11, 350 02 Cheb",,,
Láznì Aurora s.r.o.,"Lázeòská 1001, 379 01 Tøeboò",,,
"Láznì Kundratice a.s.,","Láznì Kundratice 134, 463 52 Oseèná",,,
LB Dent s.r.o.,"Zlínská 611/1, 460 07 Liberec III",,,
LC dent s.r.o.,"Elišky Pøemyslovny 1325, 156 00 Praha 5",,,
L-Dent s.r.o.,"Veleslavínova 1849/5, 400 11 Ústí nad Labem",,,
Léèebnì preventivní zaøízení s.r.o.,"Rokycanova 1756, 352 01 Sokolov",,,
Léèebnì preventivní zaøízení s.r.o.,"Rokycanova 1756, 356 01 Sokolov",info@lpzsokolov.cz,,www.lpzsokolov.cz
LEGE ARTIS DENT CZ s.r.o.,"Èumpelíkova 1764/2, 182 00 Praha 8",,,
Lékárna Petrovice s.r.o.,"Petrovice 118, 403 37 Petrovice u Ústí nad Labem",,,
Lékaø stomatolog Anna Vladová,"Mendlovo námìstí 17, 603 00 Brno",anna-klimova2002@email.cz,,
Lékaø Stomatolog Oleksii Khmara,"Drustevní 815, 56151 Letohrad",oleksii.khmara@seznam.cz,,
Lékaø stomatolog Sharapov s.r.o.,"Jiráskova 916, 755 01 Vsetín",,,
Lékaøská regionální s.r.o.,"Cesta JZD 580, 463 12 Liberec 23",,,
Lékaøská spoleènost Drlíèov s.r.o.,"Fráni Šrámka 156, 397 01 Písek",,,
"Lékaøskı dùm, spol. s r.o.","Husova 898, 675 71 Námìš nad Oslavou",,,
Lemesov - zubní ordinace s.r.o.,"Námìstí 5. kvìtna 2, 252 25 Jinoèany",,,
LEMMANDE s.r.o.,"Krnská 21/4, 197 00 Praha 9",,,
LeNadent s.r.o.,"Školní 680/2, 664 47 Støelice",,,
LENIPELI s.r.o.,"Saskova 1481, 272 01 Kladno",,,
LERAM dental s.r.o.,"Lesní Jakubov 44, 675 71 Námìš nad Oslavou",,,
LERAM dental s.r.o.,"Generála Svobody 1193/25, 767 01 Kromìøí",,,
LERODENT s.r.o.,"Kamenomlınská 124/2, 603 00 Brno",,,
LH Dent s.r.o.,"Školní 790, 763 12 Vizovice",,,
LH Dent s.r.o.,"2. kvìtna 3646, 760 01 Zlín",,,
Lhdent Skalka s.r.o.,"Nedvìzská 2223/29, 100 00 Praha 10",,,
Libdent s.r.o.,"Halasovo námìstí 597/1, 638 00 Brno",kermes.zuby@seznam.cz,,
Libento s.r.o.,"Boøivojova 540/30a, 779 00 Olomouc - Lazce",recepce@libento.cz,,
Liberecká dentální s.r.o.,"Soukenné námìstí 121/1, 460 01 Liberec",ordinace@libdent.cz,,
Libra Dental s.r.o.,"Školní 353, 252 07 Štìchovice",,,
Lident Stomacare s.r.o.,"Horníkova 2485/34, 628 00 Brno",,,
Like - Dent s.r.o.,"Skuherského 2751/68a, 370 01 Èeské Budìjovice",,,
Lilydent s.r.o.,"Slavíkova 1608/15, 120 00 Praha 2",,,
Linajová s.r.o.,"Kostelní 8/13, 410 02 Lovosice",,,
LINDENT s.r.o.,"Vítìzství 101, 763 15 Slušovice",,,
LION DENT s.r.o.,"Gorkého 85/42, 602 00 Brno",liondent@liondent.cz,,www.liondent.cz
Lipdent s.r.o.,", 696 72 Lipov 32",,,
Lisaèenko Vladislav,"Karla Èapka 211/1, 405 02 Dìèín",,,
Lisaèenko Vladislav,"Celní 3347, 415 01 Teplice",,,
"LÍŠKA  dental, s.r.o.","Jièínská 2348/10, 130 00 Praha 3",doktor@liska-dental.cz,,
LitoDent s.r.o.,"Dómská 149/3, 412 01 Litomìøice",,,
"Liudmyla Palchyk, zubní lékaø - tøída Dukelskıch hrdinù 1031, Jáchymov","tøída Dukelskıch hrdinù 1031, 362 51 Jáchymov",,,
"LIVELDENT, s.r.o.",", 370 01 Litvínovice 94",,,
LKdenta s.r.o.,"Bulharská 1320/29, 612 00 Brno",,,
LK-MEDICAL s.r.o.,"Soukalova 2212/6a, 143 00 Praha 4",,,
LK-MEDICAL s.r.o.,"Jordana Jovkova 3253/5, 143 00 Praha 4",info@lk-stomatologie.cz,,www.zubarpraha4.cz
LM Dent s.r.o.,"Místecká 454, 199 00 Praha 9",Imdent@seznam.cz,,
LMJ DENT s.r.o.,"Hlavní 88, 739 11 Frıdlant nad Ostravicí",lmjdent@seznam.cz,,
Loket Dental s.r.o.,"T.G. Masaryka 92/31, 357 33 Loket",,,www.zubarkamensky.cz
Lounská dentální s.r.o.,"Sladovnická 21, 440 01 Louny",,,
LoveYourSmile s.r.o.,"Buzulucká 480, 267 62 Komárov",,,
"LS dent, s.r.o.","Edvarda Beneše 1209/1, 747 05 Opava",,,
LTM-DENT s.r.o.,"Tyršova 140, 411 55 Terezín",,,
Ludana s.r.o.,"Doudova 652/10, 147 00 Praha 4",ludana-zubar@seznam.cz,,
Ludmila Bošnjaková  ,"Vltavínská 1346, 674 01 Tøebíè",bosnjakova@email.cz,,
LUHADENT s.r.o.,"Nádraní 282, 763 26 Luhaèovice",info@luhadent.cz,,www.luhadent.cz
Lukadental s.r.o.,"Hladnovská 2002/7, 710 00 Ostrava",,,
Lukáš Seifert Dent s.r.o.,"ikovo námìstí 3925/1, 669 02 Znojmo",,,
"LUMADENT, s.r.o.","Øímanova 525/27, 719 00 Ostrava",,,
LUMAS dentcentrum s.r.o.,"Smetanova 1941/9, 750 02 Pøerov",,,
Lumidenta s.r.o.,"Masarykova 1071, 560 02 Èeská Tøebová",,,
LUNA dental s.r.o.,"Na Hradbách 2632/18, 702 00 Ostrava",,,
Luskaè s.r.o.,"Pekaøská 440/84, 602 00 Brno",info@duosmile.cz,,www.duosmile.cz
LUX-DENT s.r.o.,"Štefánikova 52, 612 00 Brno",,,
LUX-DENT s.r.o.,"Štefánikova 52, 612 00 Brno",,,
Luická zubní s.r.o.,"Trní námìstí 575, 473 01 Novı Bor",,,
Lykke Dent s.r.o.,"Antala Staška 1670/80, 140 00 Praha 4",,,
LysaDent s.r.o.,"Hlavní 88, 739 11 Frıdlant nad Ostravicí",,,
M - Smile s.r.o.,"M. R. Štefánika 967/3, 787 01 Šumperk",,,
M & M DENT s.r.o.,"Høímalého 898/19, 301 00 Plzeò",,,
"M.A. Zubní péèe, s.r.o.","Otılie Beníškové 1695/16, 301 00 Plzeò",,,
M.A.P. spol. s r.o.,"Pálenecká 708/9a, 503 11 Hradec Králové",,,
M.L.I.O.D. s.r.o.,"Ruská 427/30, 353 01 Mariánské Láznì",,,
M.P. - ortodoncie,"Purkyòova 409/3, 301 00 Plzeò, Jiní Pøedmìstí",,,
MACIMEX s.r.o.,"Kateøinská 487/18, 128 00 Praha 2",,,
Magic dent s.r.o.,"Vinohradská 1318/99, 120 00 Praha 2",info@magicdent.cz,,www.magicdent.cz
Magnus Dent s.r.o.,"Sklenská 532, 198 00 Praha 9",,,
Magura Maksym,"Komenského 886, 252 10 Mníšek pod Brdy",,,
Machaè dentist s.r.o.,"Køídlovická 351/47a, 603 00 Brno",,,
MAJADA s.r.o.,"Nová 1869/1, 370 01 Èeské Budìjovice",mirek_musil@volny.cz,,
MAJDENT s.r.o.,"Majerského 2039/23, 149 00 Praha 4",,,
MAJDENT stomatochirurgie s.r.o.,"Majerského 2039/23, 149 00 Praha 4",,,
MAK Dental s.r.o.,"Msgr. Šrámka 1028/11, 741 01 Novı Jièín",info@makdental.cz,,
Malı princ Praha s.r.o.,"Karlovo námìstí 292/15, 120 00 Praha 2",,,
MalySan Dent s.r.o.,"Èeskoslovenské armády 287/19, 500 03 Hradec Králové",malysandent@seznam.cz,,
Malyukh Maksym,"Raisova 189, 280 01 Kolín",zubniordinacemalyukh@gmail.com,,
MAMIA CB s.r.o.,"Na Sadech 1864/23, 370 01 Èeské Budìjovice",,,
MAMONA-DENT s.r.o.,"Dolealova 1021, 198 00 Praha 9",mdentalpraha@gmail.com,,www.mdental.cz
manhart s.r.o.,"Dukelskıch hrdinù 967/10, 170 00 Praha 7",,,
MARCON DENTAL s.r.o.,"Sıkorova 613/1, 736 01 Havíøov - Šumbark",,,
Marek MolDent s.r.o.,"bratøí Dohalskıch 140/7, 190 00 Praha 9",moldent@email.cz,,
MARI-dent s.r.o.,"Bulharská 823/6, 470 01 Èeská Lípa",,,
MarKo Dent s.r.o.,"5. kvìtna 2, 563 01 Lanškroun",,,
Marlen Vision s.r.o.,"1. máje 116/13, 385 01 Vimperk",,,
MARMED s.r.o,"Dukelská 548, 798 03 Plumlov",,,
MARMED s.r.o.,", 798 09 Vıšovice 101",,,
MARTIDENT s.r.o.,"Kout 26, 783 45 Senice na Hané",,,
Martin Dental s.r.o.,"Karla Havlíèka Borovského 1561, 356 01 Sokolov",,,
MaRu DENTI s.r.o.,"Frıdecká 936/59, 739 32 Vratimov",,,
Maøákovi-Dent s.r.o.,"ikova 2379/54a, 733 01 Karviná - Mizerov",,,
MASAN s.r.o.,"Na Plzeòce 1235/2, 150 00 Praha 5",,,
"MASAN, s.r.o.","Hostinského 1536/7, 155 00 Praha 5",,,
Mašín Stomatologie s.r.o.,"Tichá 3213, 738 01 Frıdek-Místek",,,
MATMED s.r.o.,"Horní Valy 4, 695 01 Hodonín",pavmat@atlas.cz,,
MAX DENTAL CARE s.r.o.,"Za Zelenou liškou 953/1a, 140 00 Praha 4",maxdentalcare@seznam.cz,,
MAX FOR DENT s.r.o.,"ikova 151, 436 01 Litvínov",,,
Maxi DENTAL s.r.o.,"Nerudova 913/17, 690 02 Bøeclav",,,
Maxi DENTAL s.r.o.,"erotínova 895/5a, 690 02 Bøeclav",,,
MAXIMUS DENT s.r.o.,"Èeské armády 163/17, 412 01 Litomìøice",,,
MB Dent Pardubice s.r.o.,"Hronovická 2878, 530 02 Pardubice",,,
"MB Dent, s.r.o.","Jana Wericha 502, 388 01 Blatná",,,
MC-DENT s.r.o.,"Masarykova 1132/62, 312 00 Plzeò",,,
MCDental s.r.o.,"Ruská 1526/112a, 100 00 Praha 10",,,
"MD DENT, s.r.o.","Lomená 574/17, 736 01 Havíøov - Šumbark",,,
MD Dental s.r.o.,"Plaòanská 573/1, 108 00 Praha 10",mourkovaz@volny.cz,,
MDD. Šlesingerová Iva,"Politickıch vìzòù 40, 266 01 Beroun",,,
MDDr. Adam Kopeckı,"è. p. 150, 398 04 Èimelice",,,
MDDr. Adam Roman,"Hlavní 150/94, 69106 Velké Pavlovice ",mddr.adam.roman@seznam.cz,,
MDDr. Adamec Jiøí,"ikova 489, 738 01 Frıdek-Místek",silesiadentfm@gmail.com,,
